mp3_path,scaled_subsonic_energy,duration_seconds
"/Users/nicholasbennett/Music/DJ Collection/DJ Tray - Sicko Mode Deep.mp3",1687.52,66.72
"/Users/nicholasbennett/Music/DJ Collection/Skin On Skin - Magic.mp3",428.97,293.77
"/Users/nicholasbennett/Music/DJ Collection/Four Tet - Lush.mp3",164.83,311.89
"/Users/nicholasbennett/Music/DJ Collection/Sammy Virji - Spice Up My Life.mp3",253.98,241.89
"/Users/nicholasbennett/Music/DJ Collection/Oppidan - See Me.mp3",460.54,184.62
"/Users/nicholasbennett/Music/DJ Collection/Ayla Nereo - Take It Slow.mp3",16.58,186.55
"/Users/nicholasbennett/Music/DJ Collection/Clear Mortifee - M@n Like That (OSHUN Version).mp3",288.97,190.13
"/Users/nicholasbennett/Music/DJ Collection/Slikback - FLATLINE.mp3",339.80,170.53
"/Users/nicholasbennett/Music/DJ Collection/Disclosure - Sun Showers.mp3",205.68,274.68
"/Users/nicholasbennett/Music/DJ Collection/DJ Knowledge - Make it Jiggle.mp3",145.31,196.12
"/Users/nicholasbennett/Music/DJ Collection/Tekknő - Summertime Sadness - Techno.mp3",812.71,152.80
"/Users/nicholasbennett/Music/DJ Collection/Kiddy.Wav - Grab Dat Ass All Night.mp3",240.19,269.79
"/Users/nicholasbennett/Music/DJ Collection/Vhoor - Embraza.mp3",333.95,204.80
"/Users/nicholasbennett/Music/DJ Collection/Latto - Put It On Da Floor Again (feat. Cardi B).mp3",651.08,185.75
"/Users/nicholasbennett/Music/DJ Collection/DM 90 - SKINNY BABY.mp3",717.53,112.15
"/Users/nicholasbennett/Music/DJ Collection/DJ 809 - Big Purr Jersey Club.mp3",814.37,92.69
"/Users/nicholasbennett/Music/DJ Collection/Sango - Eagle Energy.mp3",555.79,91.32
"/Users/nicholasbennett/Music/DJ Collection/Nils Frahm - Ambre.mp3",0.57,227.18
"/Users/nicholasbennett/Music/DJ Collection/Pavoie - North Sideways.mp3",731.15,194.59
"/Users/nicholasbennett/Music/DJ Collection/Ben Böhmer - Breathing.mp3",319.56,222.61
"/Users/nicholasbennett/Music/DJ Collection/Gold Panda - You.mp3",184.00,216.37
"/Users/nicholasbennett/Music/DJ Collection/Peachkka - Pride All Year.mp3",585.91,145.95
"/Users/nicholasbennett/Music/DJ Collection/Ottonian - Lik It Good.mp3",296.67,260.00
"/Users/nicholasbennett/Music/DJ Collection/Schrotthagen - Demeter.mp3",329.47,179.20
"/Users/nicholasbennett/Music/DJ Collection/DJ Manny - You N You.mp3",481.61,205.37
"/Users/nicholasbennett/Music/DJ Collection/Alex G - Race.mp3",124.18,223.26
"/Users/nicholasbennett/Music/DJ Collection/Jorja Smith - Rose Rouge.mp3",141.58,277.79
"/Users/nicholasbennett/Music/DJ Collection/Overmono - Blow Out.mp3",354.40,216.07
"/Users/nicholasbennett/Music/DJ Collection/meat computer - shut down entirely.mp3",592.08,93.07
"/Users/nicholasbennett/Music/DJ Collection/mietze conte - d(-_-)b dreaming of your latte art d(-_-)b.mp3",569.71,133.71
"/Users/nicholasbennett/Music/DJ Collection/Overmono - So U Kno.mp3",244.93,343.51
"/Users/nicholasbennett/Music/DJ Collection/Marco Ginelli - OMG.mp3",378.57,339.44
"/Users/nicholasbennett/Music/DJ Collection/TURQUOISEDEATH - spacetunez.mp3",785.19,99.79
"/Users/nicholasbennett/Music/DJ Collection/Arcando - Mr. Brightside.mp3",540.74,165.54
"/Users/nicholasbennett/Music/DJ Collection/Vergi - Baby Keem (ukg edit).mp3",115.57,274.71
"/Users/nicholasbennett/Music/DJ Collection/The Glitch Mob - Between Two Points (feat. Swan).mp3",106.34,335.19
"/Users/nicholasbennett/Music/DJ Collection/HCTM - Sudno (HCTM Techno Edit).mp3",1845.18,68.57
"/Users/nicholasbennett/Music/DJ Collection/Lomaji - RR.mp3",609.32,75.75
"/Users/nicholasbennett/Music/DJ Collection/Coco & Breezy - Just Say.mp3",704.62,132.16
"/Users/nicholasbennett/Music/DJ Collection/Disclosure - You & Me.mp3",184.72,296.58
"/Users/nicholasbennett/Music/DJ Collection/MCNZI - ACT II  AMOUR.mp3",633.16,90.67
"/Users/nicholasbennett/Music/DJ Collection/Cepaque - Keep On Moving.mp3",602.72,139.20
"/Users/nicholasbennett/Music/DJ Collection/Adrian Lux - Teenage Crime.mp3",248.80,168.92
"/Users/nicholasbennett/Music/DJ Collection/Bluestaeb - Valle De Rodalquilar.mp3",132.04,129.34
"/Users/nicholasbennett/Music/DJ Collection/Binary Digit - Berriat Players.mp3",227.78,313.06
"/Users/nicholasbennett/Music/DJ Collection/Lacchesi - Someday.mp3",315.12,318.67
"/Users/nicholasbennett/Music/DJ Collection/KAYTRANADA - At All.mp3",140.78,287.27
"/Users/nicholasbennett/Music/DJ Collection/Amadeezy - Broke Ass Motherfucker.mp3",238.40,264.07
"/Users/nicholasbennett/Music/DJ Collection/Conducta - Whippet.mp3",308.79,258.00
"/Users/nicholasbennett/Music/DJ Collection/Disco Lines - Baby Girl.mp3",635.76,111.07
"/Users/nicholasbennett/Music/DJ Collection/Dj. Great - Bodyyy.mp3",831.34,100.15
"/Users/nicholasbennett/Music/DJ Collection/Sofia Kourtesis - La Perla.mp3",168.07,317.00
"/Users/nicholasbennett/Music/DJ Collection/Tom Place - miniskirt.mp3",289.12,327.00
"/Users/nicholasbennett/Music/DJ Collection/The Halluci Nation - Electric Pow Wow Drum.mp3",223.72,219.85
"/Users/nicholasbennett/Music/DJ Collection/x club. - Scum 3 -03.mp3",323.67,432.42
"/Users/nicholasbennett/Music/DJ Collection/Fred again.. - Baby again...mp3",308.43,319.96
"/Users/nicholasbennett/Music/DJ Collection/Enrico Sangiuliano - Glitch In Time.mp3",273.66,515.82
"/Users/nicholasbennett/Music/DJ Collection/Martin Ikin - Make U Sweat - Extended Mix.mp3",316.09,310.67
